,molecule_chembl_id,IC50,pIC50,units,smiles
233,CHEMBL3613603,5.4,8.267606240177031,nM,COC(=O)COc1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1
234,CHEMBL3613604,7.0,8.154901959985743,nM,COC(=O)Cc1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1
235,CHEMBL3613605,2.7,8.568636235841012,nM,COC(=O)c1ccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C)c34)CC2)cc1
236,CHEMBL3613606,5.8,8.236572006437063,nM,CCCOC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1
237,CHEMBL3613607,22.0,7.657577319177793,nM,Cc1c[nH]c2ncnc(N3CCC(CN(C)C)(C(=O)Nc4cccc(C(=O)OC(C)C)c4)CC3)c12
238,CHEMBL3613608,24.0,7.619788758288394,nM,CCC(C)OC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1
239,CHEMBL3613609,2.2,8.657577319177793,nM,C#CCOC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1
240,CHEMBL3613610,1.1,8.958607314841775,nM,COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]ccc34)CC2)c1
241,CHEMBL3613611,5.1,8.292429823902063,nM,COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]ncc34)CC2)c1
242,CHEMBL3613612,3.8,8.42021640338319,nM,COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ccnc4[nH]ncc34)CC2)c1
243,CHEMBL3613613,1130.0,5.94692155651658,nM,COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4c3CC(=O)N4)CC2)c1
244,CHEMBL3613614,69.0,7.161150909262744,nM,COC(=O)c1cccc(NC(=O)C2(N)CCN(c3ncnc4[nH]ccc34)CC2)c1
245,CHEMBL3613622,332.0,6.478861916295964,nM,COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]c(C)cc34)CC2)c1
246,CHEMBL5172395,57000.0,4.2441251443275085,nM,CC(C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)NCC(N)=O)NC(=O)NC(=O)[C@H](Cc2ccccc2)NC1=O
247,CHEMBL5181354,159.0,6.798602875679549,nM,CO[C@@H]1[C@H](N(C)C(=O)CCC(=O)O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
248,CHEMBL5188493,2.6,8.585026652029182,nM,CO[C@@H]1[C@H](N(C)C(=O)CCC(=O)NCCCOCCOCCOCCCNC(=O)COCC(=O)N[C@H]2CSSC[C@@H](C(=O)NCC(N)=O)NC(=O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)O)NC2=O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
249,CHEMBL38380,4580.0,5.339134521996131,nM,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1
250,CHEMBL495739,50.0,7.301029995663981,nM,Cl.O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12
251,CHEMBL4459800,790.0,6.102372908709558,nM,COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccnc(F)c3)cc2)c1
252,CHEMBL5176687,1750.0,5.756961951313706,nM,COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccnc(F)c3)nc2)c1
253,CHEMBL60254,4.0,8.397940008672037,nM,O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
